"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 13:23:41 GMT 2022","Mon Dec 19 13:23:41 GMT 2022","400","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]"," Test to verify the radio buttons on the page
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Dec 19 13:23:39 GMT 2022","Mon Dec 19 13:23:39 GMT 2022","450","tests","test_check_boxes","TestCheckBoxes","","","test_text_boxes[chromium]"," Test to verify the checkboxes on the page
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Mon Dec 19 13:23:41 GMT 2022","Mon Dec 19 13:23:41 GMT 2022","0","tests","test_select_menu","TestSelect","","","test_select_menu[chromium]"," Test to verify the dropdown menus on the page
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Dec 19 13:23:35 GMT 2022","Mon Dec 19 13:23:36 GMT 2022","215","tests","test_buttons","TestButtons","","","test_buttons[chromium]"," Test to verify the functionality of the double click button, Right Mouse Button click button and
        dynamic button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Mon Dec 19 13:22:26 GMT 2022","Mon Dec 19 13:22:26 GMT 2022","0","tests","test_buttons","TestButtons","","","test_double_click_button[chromium]","Test to verify the functionality of the double click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Dec 19 13:23:31 GMT 2022","Mon Dec 19 13:23:31 GMT 2022","114","tests","test_buttons","TestButtons","","","test_dynamic_button[chromium]"," Test to verify the functionality of the dynamic button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Mon Dec 19 13:24:11 GMT 2022","Mon Dec 19 13:24:11 GMT 2022","0","tests","test_text_boxes","TestTextBoxes","","","test_text_boxes[chromium]"," Test to verify the input fields and output form on the page
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Mon Dec 19 13:22:57 GMT 2022","Mon Dec 19 13:22:57 GMT 2022","0","tests","test_buttons","TestButtons","","","test_rmb_click_button[chromium]"," Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
